1 0,883 path: 1 
510 1,4833842336E-06 path: 0 0 1 0 0 2 
511 7,0829655552E-05 path: 0 0 1 0 2 
512 1,1191085577216E-05 path: 0 0 1 0 2 1 
513 3,258164155392E-05 path: 0 0 1 0 2 0 
514 2,7056928420864E-05 path: 0 0 1 0 2 2 
515 0,000478928592 path: 0 0 1 2 
516 0,000248563939248 path: 0 0 1 2 1 
517 3,9273102401184E-05 path: 0 0 1 2 1 1 
518 0,00011433941205408 path: 0 0 1 2 1 0 
519 9,4951424792736E-05 path: 0 0 1 2 1 2 
520 1,19732148E-05 path: 0 0 1 2 0 
521 1,8917679384E-06 path: 0 0 1 2 0 1 
522 5,507678808E-06 path: 0 0 1 2 0 0 
523 4,5737680536E-06 path: 0 0 1 2 0 2 
524 0,000218391437952 path: 0 0 1 2 2 
525 3,4505847196416E-05 path: 0 0 1 2 2 1 
526 0,00010046006145792 path: 0 0 1 2 2 0 
527 8,3425529297664E-05 path: 0 0 1 2 2 2 
528 0,000264252 path: 0 0 0 
529 0,000147716868 path: 0 0 0 1 
530 7,6665054492E-05 path: 0 0 0 1 1 
531 1,2113078609736E-05 path: 0 0 0 1 1 1 
532 3,526592506632E-05 path: 0 0 0 1 1 0 
533 2,9286050815944E-05 path: 0 0 0 1 1 2 
534 3,6929217E-06 path: 0 0 0 1 0 
535 5,834816286E-07 path: 0 0 0 1 0 1 
536 1,698743982E-06 path: 0 0 0 1 0 0 
537 1,4106960894E-06 path: 0 0 0 1 0 2 
